Date,Close
2023-01-01,82.48
2023-01-02,79.31
2023-01-03,83.24
2023-01-04,87.62
2023-01-05,78.83
2023-01-06,78.83
2023-01-07,87.9
2023-01-08,83.84
2023-01-09,77.65
2023-01-10,82.71
2023-01-11,77.68
2023-01-12,77.67
2023-01-13,81.21
2023-01-14,70.43
2023-01-15,71.38
2023-01-16,77.19
2023-01-17,74.94
2023-01-18,81.57
2023-01-19,75.46
2023-01-20,72.94
2023-01-21,87.33
2023-01-22,78.87
2023-01-23,80.34
2023-01-24,72.88
2023-01-25,77.28
2023-01-26,80.55
2023-01-27,74.25
2023-01-28,81.88
2023-01-29,77.0
2023-01-30,78.54
2023-01-31,76.99
2023-02-01,89.26
2023-02-02,79.93
2023-02-03,74.71
2023-02-04,84.11
2023-02-05,73.9
2023-02-06,81.04
2023-02-07,70.2
2023-02-08,73.36
2023-02-09,80.98
2023-02-10,83.69
2023-02-11,80.86
2023-02-12,79.42
2023-02-13,78.49
2023-02-14,72.61
2023-02-15,76.4
2023-02-16,77.7
2023-02-17,85.29
2023-02-18,81.72
2023-02-19,71.18
2023-02-20,81.62
2023-02-21,78.07
2023-02-22,76.62
2023-02-23,83.06
2023-02-24,85.15
2023-02-25,84.66
2023-02-26,75.8
2023-02-27,78.45
2023-02-28,81.66
2023-03-01,84.88
2023-03-02,77.6
2023-03-03,79.07
2023-03-04,74.47
2023-03-05,74.02
2023-03-06,84.06
2023-03-07,86.78
2023-03-08,79.64
2023-03-09,85.02
2023-03-10,81.81
2023-03-11,76.77
2023-03-12,81.81
2023-03-13,87.69
2023-03-14,79.82
2023-03-15,87.82
2023-03-16,66.9
2023-03-17,84.11
2023-03-18,80.44
2023-03-19,78.5
2023-03-20,80.46
2023-03-21,70.06
2023-03-22,78.9
2023-03-23,81.79
2023-03-24,87.39
2023-03-25,77.41
2023-03-26,75.96
2023-03-27,77.49
2023-03-28,84.58
2023-03-29,81.64
2023-03-30,77.35
2023-03-31,82.57
2023-04-01,80.49
2023-04-02,84.84
2023-04-03,76.49
2023-04-04,78.36
2023-04-05,78.04
2023-04-06,72.68
2023-04-07,81.48
2023-04-08,81.31
2023-04-09,80.03
2023-04-10,78.83
2023-04-11,72.92
2023-04-12,77.9
2023-04-13,78.29
2023-04-14,75.99
2023-04-15,79.19
2023-04-16,82.02
2023-04-17,89.43
2023-04-18,80.87
2023-04-19,81.29
2023-04-20,79.63
2023-04-21,70.41
2023-04-22,79.87
2023-04-23,80.3
2023-04-24,92.32
2023-04-25,79.04
2023-04-26,81.51
2023-04-27,79.83
2023-04-28,74.16
2023-04-29,85.71
2023-04-30,83.76
2023-05-01,83.96
2023-05-02,75.45
2023-05-03,87.01
2023-05-04,72.99
2023-05-05,82.93
2023-05-06,90.95
2023-05-07,75.05
2023-05-08,77.17
2023-05-09,80.5
2023-05-10,77.48
2023-05-11,72.25
2023-05-12,80.34
2023-05-13,74.69
2023-05-14,82.37
2023-05-15,75.4
2023-05-16,87.75
2023-05-17,76.08
2023-05-18,78.39
2023-05-19,84.07
2023-05-20,73.85
2023-05-21,81.14
2023-05-22,86.54
2023-05-23,71.96
2023-05-24,80.92
2023-05-25,81.3
2023-05-26,83.91
2023-05-27,73.82
2023-05-28,73.4
2023-05-29,82.61
2023-05-30,81.48
2023-05-31,81.25
2023-06-01,81.73
2023-06-02,76.6
2023-06-03,81.16
2023-06-04,81.47
2023-06-05,76.43
2023-06-06,89.33
2023-06-07,82.37
2023-06-08,74.04
2023-06-09,83.28
2023-06-10,75.13
2023-06-11,83.94
2023-06-12,85.79
2023-06-13,75.9
2023-06-14,84.82
2023-06-15,82.06
2023-06-16,84.11
2023-06-17,89.48
2023-06-18,78.77
2023-06-19,76.23
2023-06-20,75.55
2023-06-21,75.92
2023-06-22,79.61
2023-06-23,81.71
2023-06-24,81.38
2023-06-25,84.14
2023-06-26,80.07
2023-06-27,87.27
2023-06-28,78.68
2023-06-29,93.6
